1657.6,1657.6,5001,1683.9
0.05799,0.05799,32.499,0.12398
1709.8,1709.8,5001,1735.4
1.2048,1.2048,95.34,28.292
0.035993,0.11098,36.84,75.829
0.082987,0.12698,38.64,38.275
0.017996,0.031995,29.928,13.419
31.23,31.23,190.04,56.711
0.026995,0.026995,23.765,951.22
32.602,32.602,199.05,121.83
0.60191,0.60191,24.34,14.216
5001,5001,5001,5001
111.61,111.61,562.14,138.74
5001,5001,5001,5001
7.9028,7.9028,169.33,38.834
0.005999,0.005999,23.756,11.01
0.005999,0.005999,24.063,8.906
0.011998,0.011998,23.763,0.033993
757.26,757.26,5001,790.42
0.033994,0.033994,33.722,929.75
34.4,34.4,205.73,120.48
0.021996,0.021996,34.519,5001
