Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
206,34,1,141.9753,0,10.0,-1,0.001,1.0,1,141.9753,11,0.20600000000000016,SAT,,0.029,
207,34,44,16.3957,0,10.0,-1,0.001,1.0,1,16.3957,11,0.20700000000000016,SAT,,0.029,
208,34,17,19.8237,0,10.0,-1,0.001,1.0,1,19.8237,11,0.20800000000000016,SAT,,0.029,
209,34,54,39.3488,0,10.0,-1,0.001,1.0,1,39.3488,11,0.20900000000000016,SAT,,0.029,
210,34,73,11.7193,0,10.0,-1,0.001,1.0,1,11.7193,11,0.21000000000000016,SAT,,0.029,
211,34,30,17.708,0,10.0,-1,0.001,1.0,1,17.708,11,0.21100000000000016,SAT,,0.029,
212,34,42,13.2922,0,10.0,-1,0.001,1.0,1,13.2922,11,0.21200000000000016,SAT,,0.029,
213,34,57,41.8495,0,10.0,-1,0.001,1.0,1,41.8495,11,0.21300000000000016,SAT,,0.029,
214,34,6,77.9362,0,10.0,-1,0.001,1.0,1,77.9362,11,0.21400000000000016,SAT,,0.03,
215,34,43,14.6772,0,10.0,-1,0.001,1.0,1,14.6772,11,0.21500000000000016,SAT,,0.028,
216,34,66,26.9475,0,10.0,-1,0.001,1.0,1,26.9475,11,0.21600000000000016,SAT,,0.029,
217,34,58,41.749,0,10.0,-1,0.001,1.0,1,41.749,11,0.21700000000000016,SAT,,0.029,
218,34,55,40.6276,0,10.0,-1,0.001,1.0,1,40.6276,11,0.21800000000000017,SAT,,0.029,
219,34,75,10.1187,0,10.0,-1,0.001,1.0,1,10.1187,11,0.21900000000000017,SAT,,0.029,
220,34,7,67.9314,0,10.0,-1,0.001,1.0,1,67.9314,11,0.22000000000000017,SAT,,0.029,
221,34,9,50.9304,0,10.0,-1,0.001,1.0,1,50.9304,11,0.22100000000000017,SAT,,0.029,
222,34,16,21.0691,0,10.0,-1,0.001,1.0,1,21.0691,11,0.22200000000000017,SAT,,0.03,
223,34,56,41.471,0,10.0,-1,0.001,1.0,1,41.471,11,0.22300000000000017,SAT,,0.029,
224,34,19,18.7231,0,10.0,-1,0.001,1.0,1,18.7231,11,0.22400000000000017,SAT,,0.029,
225,34,37,11.6102,0,10.0,-1,0.001,1.0,1,11.6102,11,0.22500000000000017,SAT,,0.028,
226,34,46,20.6793,0,10.0,-1,0.001,1.0,1,20.6793,11,0.22600000000000017,SAT,,0.028,
227,34,50,30.924,0,10.0,-1,0.001,1.0,1,30.924,11,0.22700000000000017,SAT,,0.029,
228,34,2,127.4234,0,10.0,-1,0.001,1.0,1,127.4234,11,0.22800000000000017,SAT,,0.028,
229,34,21,18.8066,0,10.0,-1,0.001,1.0,1,18.8066,11,0.22900000000000018,SAT,,0.029,
230,34,48,25.7138,0,10.0,-1,0.001,1.0,1,25.7138,12,0.23000000000000018,SAT,,0.029,
231,35,5,83.3165,0,10.0,-1,0.001,1.0,1,83.3165,12,0.23100000000000018,SAT,,0.029,
232,35,42,15.6267,0,10.0,-1,0.001,1.0,1,15.6267,12,0.23200000000000018,SAT,,0.029,
233,35,48,28.5045,0,10.0,-1,0.001,1.0,1,28.5045,12,0.23300000000000018,SAT,,0.028,
234,35,51,36.3272,0,10.0,-1,0.001,1.0,1,36.3272,12,0.23400000000000018,SAT,,0.029,
235,35,30,18.4343,0,10.0,-1,0.001,1.0,1,18.4343,12,0.23500000000000018,SAT,,0.029,
236,35,9,46.6097,0,10.0,-1,0.001,1.0,1,46.6097,12,0.23600000000000018,SAT,,0.029,
237,35,55,43.6573,0,10.0,-1,0.001,1.0,1,43.6573,12,0.23700000000000018,SAT,,0.028,
238,34,47,23.1361,0,10.0,-1,0.001,1.0,1,23.1361,12,0.23800000000000018,SAT,,0.028,
239,36,47,152.9937,0,10.0,-1,0.001,1.0,1,152.9937,12,0.23900000000000018,SAT,,0.028,
240,34,18,19.0754,0,10.0,-1,0.001,1.0,1,19.0754,13,0.24000000000000019,SAT,,0.029,
241,37,48,24.889,0,10.0,-1,0.001,1.0,1,24.889,13,0.2410000000000002,SAT,,0.029,
242,37,27,19.4119,0,10.0,-1,0.001,1.0,1,19.4119,13,0.2420000000000002,SAT,,0.029,
243,37,55,39.7288,0,10.0,-1,0.001,1.0,1,39.7288,13,0.2430000000000002,SAT,,0.03,
