12:14:22.954 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - SMAC started at: 13-Aug-2015 12:14:22 PM. Minimizing mean quality.
12:14:24.055 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - First incumbent: config 1 (internal ID: 0x001D), with mean quality: 60.9936; estimate based on 1 runs.
12:14:24.056 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Sample call for new incumbent config 1 (internal ID: 0x001D): 
cd /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/.; python ./braninWrapper.py x1_-4.2 0 10.0 2147483647 -1 -x2 '7.5'  
12:14:24.457 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 43.1924; estimate now based on 2 runs.
12:14:24.580 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Incumbent changed to: config 2 (internal ID: 0x2D20), with mean quality: 41.6066; estimate based on 2 runs.
12:14:24.580 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Sample call for new incumbent config 2 (internal ID: 0x2D20): 
cd /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/.; python ./braninWrapper.py x1_2.8 0 10.0 2147483647 -1 -x2 '8.7205453444638'  
12:14:24.647 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 52.09276666666667; estimate now based on 3 runs.
12:14:24.769 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 40.81035; estimate now based on 4 runs.
